Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,R,,,11,,,1057.411765,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,R,,,11,,,1057.411765,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,R,,,7,,,1057.411765,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,R,,,7,,,1057.411765,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,R,,,12,,,1586.117647,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,R,,,12,,,1586.117647,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,R,,,8.5,,,1586.117647,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,R,,,8.5,,,1586.117647,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1057.411765,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1057.411765,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,R,,,8.5,,,1057.411765,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,R,,,8.5,,,1057.411765,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1586.117647,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1586.117647,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,R,,,12.5,,,1586.117647,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,R,,,12.5,,,1586.117647,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,Rb,,,4,,,528.7058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,Rb,,,4,,,528.7058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,Rb,,,2,,,528.7058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,Rb,,,2,,,528.7058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,Rb,,,4,,,1057.411765,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,Rb,,,4,,,1057.411765,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,Rb,,,4,,,1057.411765,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,Rb,,,4,,,1057.411765,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,Rb,,,7,,,528.7058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,Rb,,,7,,,528.7058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,528.7058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,528.7058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,1057.411765,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,1057.411765,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,1057.411765,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,1057.411765,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,528.7058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,528.7058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,Rl,,,5,,,528.7058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,Rl,,,5,,,528.7058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,528.7058824,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,528.7058824,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,528.7058824,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,528.7058824,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,528.7058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,528.7058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rl,,,5,,,528.7058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rl,,,5,,,528.7058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,528.7058824,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,528.7058824,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,Rl,,,8,,,528.7058824,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,Rl,,,8,,,528.7058824,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,HP,,11,,,,1331.046453,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,HP,,11,,,,1331.046453,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,HP,,6.5,,,,858.0044118,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,HP,,6.5,,,,858.0044118,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,HP,,11,,,,1331.046453,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,HP,,11,,,,1331.046453,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,HP,,7,,,,900.9046324,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,HP,,7,,,,900.9046324,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,HP,,15.5,,,,2064.88992,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,HP,,15.5,,,,2064.88992,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,HP,,8.5,,,,1042.909725,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,HP,,8.5,,,,1042.909725,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,HP,,15.5,,,,2064.88992,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HP,,15.5,,,,2064.88992,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1540.852651,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1540.852651,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,900.9046324,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,900.9046324,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,HPl,,5,,,,741.1764706,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,HPl,,5,,,,741.1764706,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,993.2473572,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,993.2473572,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,HPl,,5,,,,741.1764706,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,HPl,,5,,,,741.1764706,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,1042.909725,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,1042.909725,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,HPl,,5,,,,741.1764706,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,HPl,,5,,,,741.1764706,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,HPl,,9,,,,1095.055211,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HPl,,9,,,,1095.055211,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,HPl,,8,,,,993.2473572,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HPl,,8,,,,993.2473572,,,,
,,,,,,R,,,,135,308.8235294,,,,
,,,,,,R,,,,162,370.5882353,,,,
,,,,,,R,,,,180,395.2941176,,,,
,,,,,,R,,,,216,494.1176471,,,,
,,,,,,R,,,,300,617.6470588,,,,
,,,,,,R,,,,360,642.3529412,,,,
,,,,,,Ro,,,,162,370.5882353,,,,
,,,,,,Ro,,,,216,494.1176471,,,,
,,,,,,Ro,,,,360,642.3529412,,,,
,,,,,,HP,,,,135,494.1176471,,,,
,,,,,,HP,,,,162,555.8823529,,,,
,,,,,,HP,,,,180,617.6470588,,,,
,,,,,,HP,,,,216,648.5294118,,,,
,,,,,,HP,,,,300,802.9411765,,,,
,,,,,,HP,,,,360,864.7058824,,,,
,,,,,,HPo,,,,162,555.8823529,,,,
,,,,,,HPo,,,,216,648.5294118,,,,
,,,,,,HPo,,,,360,864.7058824,,,,
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,8.5,,9,200,2661.626471,1585.376471,0,1076.25,2661.626471
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,11.2,,12,200,3121.155882,2044.905882,0,1076.25,3121.155882
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,14,,14,200,3312.626471,2236.376471,0,1076.25,3312.626471
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,5,,5,500,3157.035561,1585.376471,495.4090909,1076.25,3157.035561
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,6,,6,500,3157.035561,1585.376471,495.4090909,1076.25,3157.035561
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,8.5,,9,500,3157.035561,1585.376471,495.4090909,1076.25,3157.035561
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,14,,14,500,3808.035561,2236.376471,495.4090909,1076.25,3808.035561
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,5,,5,1000,3782.262834,1585.376471,1120.636364,1076.25,3782.262834
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,6,,6,1000,3782.262834,1585.376471,1120.636364,1076.25,3782.262834
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,8.5,,9,1000,3782.262834,1585.376471,1120.636364,1076.25,3782.262834
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,11.2,,12,1000,4241.792246,2044.905882,1120.636364,1076.25,4241.792246
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,14,,14,1000,4433.262834,2236.376471,1120.636364,1076.25,4433.262834
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,8.5,,9,200,3239.126471,1585.376471,0,1653.75,3239.126471
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,11.2,,12,200,3698.655882,2044.905882,0,1653.75,3698.655882
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,14,,14,200,3890.126471,2236.376471,0,1653.75,3890.126471
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,5,,5,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,6,,6,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,8.5,,9,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,14,,14,500,4385.535561,2236.376471,495.4090909,1653.75,4385.535561
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,5,,5,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,6,,6,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,8.5,,9,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,11.2,,12,1000,4819.292246,2044.905882,1120.636364,1653.75,4819.292246
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,14,,14,1000,5010.762834,2236.376471,1120.636364,1653.75,5010.762834
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,8.5,,9,200,2838.813971,1585.376471,0,1253.4375,2838.813971
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,11.2,,12,200,3298.343382,2044.905882,0,1253.4375,3298.343382
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,14,,14,200,3489.813971,2236.376471,0,1253.4375,3489.813971
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,5,,5,500,3334.223061,1585.376471,495.4090909,1253.4375,3334.223061
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,6,,6,500,3334.223061,1585.376471,495.4090909,1253.4375,3334.223061
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,8.5,,9,500,3334.223061,1585.376471,495.4090909,1253.4375,3334.223061
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,14,,14,500,3985.223061,2236.376471,495.4090909,1253.4375,3985.223061
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,5,,5,1000,3959.450334,1585.376471,1120.636364,1253.4375,3959.450334
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,6,,6,1000,3959.450334,1585.376471,1120.636364,1253.4375,3959.450334
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,8.5,,9,1000,3959.450334,1585.376471,1120.636364,1253.4375,3959.450334
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,11.2,,12,1000,4418.979746,2044.905882,1120.636364,1253.4375,4418.979746
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,14,,14,1000,4610.450334,2236.376471,1120.636364,1253.4375,4610.450334
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,8.5,,9,200,3357.251471,1585.376471,0,1771.875,3357.251471
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,11.2,,12,200,3816.780882,2044.905882,0,1771.875,3816.780882
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,14,,14,200,4008.251471,2236.376471,0,1771.875,4008.251471
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,5,,5,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,6,,6,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,8.5,,9,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,14,,14,500,4503.660561,2236.376471,495.4090909,1771.875,4503.660561
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,5,,5,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,6,,6,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,8.5,,9,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,11.2,,12,1000,4937.417246,2044.905882,1120.636364,1771.875,4937.417246
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,14,,14,1000,5128.887834,2236.376471,1120.636364,1771.875,5128.887834
,Mass-H1,Mass,H1,AK,HYD200,HYD200,8.5,,9,200,2622.251471,1585.376471,0,1036.875,2622.251471
,Mass-H1,Mass,H1,AK,HYD200,HYD200,11.2,,12,200,3081.780882,2044.905882,0,1036.875,3081.780882
,Mass-H1,Mass,H1,AK,HYD200,HYD200,14,,14,200,3273.251471,2236.376471,0,1036.875,3273.251471
,Mass-H1,Mass,H1,AK,HYD500,HYD500,5,,5,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,6,,6,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,8.5,,9,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,14,,14,500,3768.660561,2236.376471,495.4090909,1036.875,3768.660561
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,5,,5,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,6,,6,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,8.5,,9,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4202.417246,2044.905882,1120.636364,1036.875,4202.417246
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,14,,14,1000,4393.887834,2236.376471,1120.636364,1036.875,4393.887834
,Mod-H1,Mod,H1,AK,HYD200,HYD200,8.5,,9,200,3101.313971,1585.376471,0,1515.9375,3101.313971
,Mod-H1,Mod,H1,AK,HYD200,HYD200,11.2,,12,200,3560.843382,2044.905882,0,1515.9375,3560.843382
,Mod-H1,Mod,H1,AK,HYD200,HYD200,14,,14,200,3752.313971,2236.376471,0,1515.9375,3752.313971
,Mod-H1,Mod,H1,AK,HYD500,HYD500,5,,5,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,6,,6,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,8.5,,9,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,14,,14,500,4247.723061,2236.376471,495.4090909,1515.9375,4247.723061
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,5,,5,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,6,,6,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,8.5,,9,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4681.479746,2044.905882,1120.636364,1515.9375,4681.479746
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,14,,14,1000,4872.950334,2236.376471,1120.636364,1515.9375,4872.950334
,Mass-H1,Mass,H1,CH,HYD200,HYD200,8.5,,9,200,2622.251471,1585.376471,0,1036.875,2622.251471
,Mass-H1,Mass,H1,CH,HYD200,HYD200,11.2,,12,200,3081.780882,2044.905882,0,1036.875,3081.780882
,Mass-H1,Mass,H1,CH,HYD200,HYD200,14,,14,200,3273.251471,2236.376471,0,1036.875,3273.251471
,Mass-H1,Mass,H1,CH,HYD500,HYD500,5,,5,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,6,,6,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,8.5,,9,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,14,,14,500,3768.660561,2236.376471,495.4090909,1036.875,3768.660561
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,5,,5,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,6,,6,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,8.5,,9,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4202.417246,2044.905882,1120.636364,1036.875,4202.417246
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,14,,14,1000,4393.887834,2236.376471,1120.636364,1036.875,4393.887834
,Mod-H1,Mod,H1,CH,HYD200,HYD200,8.5,,9,200,3239.126471,1585.376471,0,1653.75,3239.126471
,Mod-H1,Mod,H1,CH,HYD200,HYD200,11.2,,12,200,3698.655882,2044.905882,0,1653.75,3698.655882
,Mod-H1,Mod,H1,CH,HYD200,HYD200,14,,14,200,3890.126471,2236.376471,0,1653.75,3890.126471
,Mod-H1,Mod,H1,CH,HYD500,HYD500,5,,5,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,6,,6,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,8.5,,9,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,14,,14,500,4385.535561,2236.376471,495.4090909,1653.75,4385.535561
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,5,,5,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,6,,6,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,8.5,,9,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4819.292246,2044.905882,1120.636364,1653.75,4819.292246
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,14,,14,1000,5010.762834,2236.376471,1120.636364,1653.75,5010.762834
